date,total,yeb,lc,jj,hj,累计占用,占有份额,占有比例,今年收益,获得收益
2018/11/22,2753.68,835.48,1891.13,16.98,10.09,49720134.84,21100000,42.4375%,9830.82,
2018/11/23,2755.09,835.94,1891.13,17.94,10.08,,,,,
2018/11/24,2755.55,836.4,1891.13,17.94,10.08,,,,,
2018/11/25,2773.04,836.85,1908.17,17.94,10.08,,,,,
2018/11/26,2781.41,837.3,1914.09,19.9,10.12,,,,,
2018/11/27,2787.8,837.75,1920.1,19.91,10.04,,,,,
2018/11/28,2794.81,838.2,1925.87,20.82,9.92,,,,,
2018/11/29,2802.16,838.66,1931.64,21.78,10.08,,,,,
2018/11/30,2803.59,839.12,1931.64,22.75,10.08,,,,,
2018/12/1,2804.05,839.58,1931.64,22.75,10.08,,,,,
2018/12/2,2821.46,840.04,1948.59,22.75,10.08,,,,,
2018/12/3,2829.7,840.5,1954.46,24.69,10.05,,,,,
2018/12/4,2838.03,840.96,1960.43,26.61,10.03,,,,,
2018/12/5,2847.14,841.43,1966.18,29.48,10.05,,,,,
2018/12/6,2854.42,841.9,1971.92,30.46,10.14,,,,,
2018/12/7,2855.91,842.38,1971.92,31.42,10.19,,,,,
2018/12/8,2856.39,842.86,1971.92,31.42,10.19,,,,,
2018/12/9,2873.63,843.34,1988.68,31.42,10.19,,,,,
2018/12/10,2882.9,843.64,1994.47,34.32,10.47,,,,,
2018/12/11,2890.03,843.94,2000.41,35.28,10.4,,,,,
2018/12/12,2897.87,844.24,2006.1,37.19,10.34,,,,,
2018/12/13,2900.32,844.69,2011.82,33.4,10.41,,,,,
2018/12/14,2898.81,845.15,2011.82,31.5,10.34,,,,,
2018/12/15,2899.26,845.6,2011.82,31.5,10.34,,,,,
2018/12/16,2916.61,846.05,2028.72,31.5,10.34,,,,,
2018/12/17,2924.8,846.5,2034.58,33.45,10.27,,,,,
2018/12/18,2929.51,846.95,2040.57,31.55,10.44,,,,,
2018/12/19,2935.77,847.41,2046.33,31.56,10.47,,,,,
2018/12/20,2944.89,847.87,2052.11,34.43,10.48,,,,,
2018/12/21,2947.5,847.89,2053.55,35.39,10.67,,,,,
2018/12/22,2949.52,848.46,2055,35.39,10.67,,,,,
2018/12/23,2968.54,849.03,2073.45,35.39,10.67,,,,,
2018/12/24,2976.47,849.6,2080.74,35.39,10.74,,,,,
2018/12/25,2985.63,850.16,2088.22,36.35,10.9,,,,,
2018/12/26,2992.66,850.8,2095.5,35.39,10.97,,,,,
2018/12/27,3003.27,851.44,2102.71,38.27,10.85,,,,,
2018/12/28,3012.3,852.15,2104.16,44.98,11.01,,,,,
2018/12/29,3014.48,852.89,2105.6,44.98,11.01,,,,,
2018/12/30,3016.67,853.63,2107.05,44.98,11.01,,,,,
2018/12/31,3018.86,854.37,2108.5,44.98,11.01,,,,,
2019/1/1,3049.11,855.11,2138.01,44.98,11.01,,,,,
2019/1/2,3066.17,855.85,2145.6,53.6,11.12,,,,,
2019/1/3,3078.13,856.57,2152.9,57.39,11.27,,,,,
2019/1/4,3096.35,857.27,2154.34,73.45,11.29,,,,,
2019/1/5,3098.48,857.95,2155.79,73.45,11.29,,,,,
2019/1/6,3117.32,858.63,2173.95,73.45,11.29,,,,,
2019/1/7,3139.89,859.31,2180.97,88.45,11.16,,,,,
2019/1/8,3148.99,859.96,2188.59,89.41,11.03,,,,,
2019/1/9,3168.93,860.61,2195.73,101.65,10.94,,,,,
2019/1/10,3174.82,860.93,2202.86,100.09,10.94,,,,,
2019/1/11,3192.33,861.25,2204.31,115.88,10.89,,,,,
2019/1/12,3194.07,861.54,2205.76,115.88,10.89,,,,,
2019/1/13,3212.5,861.81,2223.92,115.88,10.89,,,,,
2019/1/14,3204.55,862.08,2231.82,99.74,10.91,,,,,
2019/1/15,3256.87,862.77,2240.35,142.95,10.8,,,,,
2019/1/16,3263.17,863.38,2248.47,140.46,10.86,,,,,
2019/1/17,3253.83,863.96,2256.47,122.53,10.87,,,,,
2019/1/18,3305.54,864.51,2257.98,172.16,10.89,,,,,
2019/1/19,3307.61,865.08,2259.48,172.16,10.89,,,,,
2019/1/20,3328.69,865.59,2280.05,172.16,10.89,,,,,
2019/1/21,3358.94,866.1,2287.38,194.67,10.79,,,,,
2019/1/22,3310.03,866.64,2295.33,137.22,10.84,,,,,
2019/1/23,3320.99,867.57,2302.85,139.77,10.8,,,,,
2019/1/24,3355.33,868.49,2310.44,165.58,10.82,,,,,
2019/1/25,3365.96,869.43,2311.89,173.84,10.8,,,,,
2019/1/26,3368.41,870.31,2313.46,173.84,10.8,,,,,
2019/1/27,3388.85,871.15,2333.06,173.84,10.8,,,,,
2019/1/28,3392.74,871.99,2340.6,169.15,11,,,,,
2019/1/29,3377.76,872.9,2348.79,144.93,11.14,,,,,
2019/1/30,3332.53,873.81,2356.42,91.08,11.22,,,,,
2019/1/31,3351.27,874.7,2363.95,101.41,11.21,,,,,
2019/2/1,3503.51,875.32,2365.4,251.51,11.28,,,,,
2019/2/2,3505.56,875.93,2366.84,251.51,11.28,,,,,
2019/2/3,3507.54,876.46,2368.29,251.51,11.28,,,,,
2019/2/4,3509.52,876.99,2369.74,251.51,11.28,,,,,
2019/2/5,3511.49,877.52,2371.18,251.51,11.28,,,,,
2019/2/6,3513.47,878.05,2372.63,251.51,11.28,,,,,
2019/2/7,3515.45,878.58,2374.08,251.51,11.28,,,,,
2019/2/8,3517.42,879.11,2375.52,251.51,11.28,,,,,
2019/2/9,3519.4,879.64,2376.97,251.51,11.28,,,,,
2019/2/10,3580.18,880.17,2437.22,251.51,11.28,,,,,
2019/2/11,3761.15,880.7,2444.6,424.57,11.28,,,,,
2019/2/12,3838.95,881.26,2454.86,491.52,11.31,,,,,
2019/2/13,4006.8,882.25,2462.91,650.4,11.24,,,,,
2019/2/14,4044.08,883.18,2470.89,678.82,11.19,,,,,
2019/2/15,3930.32,884.35,2472.34,562.25,11.38,,,,,
2019/2/16,3932.89,885.47,2473.79,562.25,11.38,,,,,
2019/2/17,3954.86,886.58,2494.65,562.25,11.38,,,,,
2019/2/18,4279.8,887.68,2502.55,878.03,11.54,,,,,
2019/2/19,4285.42,888.81,2511.3,873.71,11.6,,,,,
2019/2/20,4314.54,889.89,2519.48,893.4,11.77,,,,,
2019/2/21,4301.27,890.86,2527.83,870.96,11.62,,,,,
2019/2/22,4550.07,891.13,2529.28,1118.22,11.44,,,,,
2019/2/23,4551.77,891.39,2530.72,1118.22,11.44,,,,,
2019/2/24,4575.45,891.65,2554.14,1118.22,11.44,,,,,
2019/2/25,5211.12,891.91,2563.07,1744.76,11.38,,,,,
2019/2/26,5145.58,892.23,2572.9,1669.09,11.36,,,,,
2019/2/27,5118.74,892.55,2581.73,1633.12,11.34,,,,,
2019/2/28,5120.66,892.91,2590.35,1626.23,11.17,,,,,
2019/3/1,5297.83,893.35,2591.8,1801.66,11.02,,,,,
2019/3/2,5300.42,894.49,2593.25,1801.66,11.02,,,,,
2019/3/3,5321.43,895.63,2613.12,1801.66,11.02,,,,,
2019/3/4,5512.31,896.77,2620.74,1984.14,10.66,,,,,
2019/3/5,5730.17,898.58,2629.4,2191.66,10.53,,,,,
2019/3/6,5898.3,900.58,2637.32,2349.7,10.7,,,,,
2019/3/7,5914.44,902.56,2645.23,2356.07,10.58,,,,,
2019/3/8,5555.33,904.64,2646.68,1993.19,10.82,,,,,
2019/3/9,5558.79,906.66,2648.12,1993.19,10.82,,,,,
2019/3/10,5580.63,908.44,2668.18,1993.19,10.82,,,,,
2019/3/11,5851.01,910.21,2675.84,2254.04,10.92,,,,,
2019/3/12,5972.44,912.12,2685.27,2364.13,10.92,,,,,
2019/3/13,5834.3,914.06,2694.41,2214.91,10.92,,,,,
2019/3/14,5702.27,916.46,2703.35,2071.54,10.92,,,,,
2019/3/15,5831.52,918.84,2704.79,2196.97,10.92,,,,,
2019/3/16,5835.3,920.78,2706.63,2196.97,10.92,,,,,
2019/3/17,5860.59,922.71,2729.99,2196.97,10.92,,,,,
2019/3/18,6170.88,924.6,2738.7,2496.66,10.92,,,,,
2019/3/19,6168.88,926.52,2748.02,2483.42,10.92,,,,,
2019/3/20,6175.29,928.37,2757.09,2478.91,10.92,,,,,
2019/3/21,6175.29,928.37,2757.09,2478.91,10.92,,,,,
2019/3/22,6278.08,930.07,2767.67,2569.42,10.92,,,,,
2019/3/23,6280.37,930.91,2769.12,2569.42,10.92,,,,,
2019/3/24,6303.5,931.75,2791.41,2569.42,10.92,,,,,
2019/3/25,6087.12,932.58,2800.03,2343.59,10.92,,,,,
2019/3/26,5884.4,933.4,2809.34,2130.74,10.92,,,,,
2019/3/27,6018.82,934.15,2818.3,2255.45,10.92,,,,,
2019/3/28,5931.62,934.9,2827.27,2158.53,10.92,,,,,
2019/3/29,6380.89,935.64,2828.72,2605.61,10.92,,,,,
2019/3/30,6383.04,936.35,2830.16,2605.61,10.92,,,,,
2019/3/31,6406.1,937.04,2852.53,2605.61,10.92,,,,,
2019/4/1,6817.65,937.73,2861.13,3007.87,10.92,,,,,
2019/4/2,6834.81,938.4,2870.4,3015.09,10.92,,,,,
2019/4/3,6967.34,939.06,2879.71,3137.65,10.92,,,,,
2019/4/4,7059.14,939.73,2881.15,3227.34,10.92,,,,,
2019/4/5,7061.47,940.61,2882.6,3227.34,10.92,,,,,
2019/4/6,7063.76,941.45,2884.05,3227.34,10.92,,,,,
2019/4/7,7094.24,942.28,2913.7,3227.34,10.92,,,,,
2019/4/8,7082.07,943.1,2922.25,3205.8,10.92,,,,,
2019/4/9,7128.79,943.91,2931.99,3241.97,10.92,,,,,
2019/4/10,7150.94,944.47,2941.22,3254.33,10.92,,,,,
2019/4/11,6925.32,945.02,2950.17,3019.21,10.92,,,,,
2019/4/12,6901.72,945.57,2951.62,2993.61,10.92,,,,,
2019/4/13,6904.79,947.2,2953.06,2993.61,10.92,,,,,
2019/4/14,6928.79,948.78,2975.48,2993.61,10.92,,,,,
2019/4/15,6870.46,950.36,2983.87,2925.31,10.92,,,,,
2019/4/16,7166.7,952.06,2993.09,3210.63,10.92,,,,,
2019/4/17,7203.3,953.72,3002.06,3236.6,10.92,,,,,
2019/4/18,7203.3,953.72,3002.06,3236.6,10.92,,,,,
2019/4/19,7282.86,957.03,3012.38,3302.53,10.92,,,,,
2019/4/20,7285.94,958.66,3013.83,3302.53,10.92,,,,,
2019/4/21,7309.85,960.25,3036.15,3302.53,10.92,,,,,
2019/4/22,7068.96,961.84,3044.57,3051.63,10.92,,,,,
2019/4/23,6987.79,963.4,3053.73,2959.74,10.92,,,,,
2019/4/24,7064.62,964.95,3062.59,3026.16,10.92,,,,,
2019/4/25,6699.4,966.56,3071.32,2650.6,10.92,,,,,
2019/4/26,6554.35,968.16,3072.77,2502.5,10.92,,,,,
2019/4/27,6557.37,969.73,3074.22,2502.5,10.92,,,,,
2019/4/28,6581.16,971.24,3096.5,2502.5,10.92,,,,,
2019/4/29,6474.74,971.49,3104.85,2387.48,10.92,,,,,
2019/4/30,6541.09,971.73,3106.3,2452.14,10.92,,,,,
2019/5/1,6542.76,971.96,3107.74,2452.14,10.92,,,,,
2019/5/2,6544.44,972.19,3109.19,2452.14,10.92,,,,,
2019/5/3,6546.11,972.42,3110.63,2452.14,10.92,,,,,
2019/5/4,6547.79,972.65,3112.08,2452.14,10.92,,,,,
2019/5/5,6591.56,972.88,3155.62,2452.14,10.92,,,,,
2019/5/6,5725.98,973.11,3164.43,1577.52,10.92,,,,,
2019/5/7,5881.52,974.53,3174.39,1721.68,10.92,,,,,
2019/5/8,5756.27,976.22,3183.01,1586.12,10.92,,,,,
2019/5/9,5556.48,977.89,3191.54,1376.13,10.92,,,,,
2019/5/10,6056.08,979.35,3192.99,1872.82,10.92,,,,,
2019/5/11,6058.97,980.79,3194.44,1872.82,10.92,,,,,
2019/5/12,6082.73,982.23,3216.76,1872.82,10.92,,,,,
2019/5/13,5889.02,983.66,3225.44,1669,10.92,,,,,
2019/5/14,5804.98,985.08,3234.6,1574.38,10.92,,,,,
2019/5/15,6137.63,987.82,3243.22,1895.67,10.92,,,,,
2019/5/16,6225.25,990.55,3251.85,1971.93,10.92,,,,,
2019/5/17,5799.64,993.26,3253.3,1542.16,10.92,,,,,
2019/5/18,5803.78,995.96,3254.74,1542.16,10.92,,,,,
2019/5/19,5828.93,998.65,3277.2,1542.16,10.92,,,,,
2019/5/20,5743.89,1001.32,3285.9,1445.75,10.92,,,,,
2019/5/21,5989.44,1003.33,3295.99,1679.2,10.92,,,,,
2019/5/22,5916.81,1005.31,3305.69,1594.89,10.92,,,,,
2019/5/23,5639.07,1007.3,3315.19,1305.66,10.92,,,,,
2019/5/24,5627.19,1008.29,3316.63,1291.35,10.92,,,,,
2019/5/25,5629.63,1009.28,3318.08,1291.35,10.92,,,,,
2019/5/26,5655.68,1010.25,3343.16,1291.35,10.92,,,,,
2019/5/27,5957.72,1011.22,3352.88,1582.7,10.92,,,,,
2019/5/28,6055.85,1012.97,3363.1,1668.86,10.92,,,,,
2019/5/29,6049.06,1014.71,3372.78,1650.65,10.92,,,,,
2019/5/30,5958.47,1016.43,3382.27,1548.85,10.92,,,,,
2019/5/31,5914.89,1016.77,3383.72,1503.48,10.92,,,,,
2019/6/1,5916.66,1017.09,3385.17,1503.48,10.92,,,,,
2019/6/2,5942.21,1017.41,3410.4,1503.48,10.92,,,,,
2019/6/3,5875.78,1017.73,3420.25,1426.88,10.92,,,,,
2019/6/4,5702.92,1018.04,3430.19,1243.77,10.92,,,,,
2019/6/5,5696.91,1018.31,3439.78,1227.9,10.92,,,,,
2019/6/6,5434.34,1018.57,3441.23,963.62,10.92,,,,,
2019/6/7,5436.01,1018.8,3442.67,963.62,10.92,,,,,
2019/6/8,5437.69,1019.03,3444.12,963.62,10.92,,,,,
2019/6/9,5471.28,1019.2,3477.54,963.62,10.92,,,,,
2019/6/10,5693.22,1019.37,3487.48,1175.45,10.92,,,,,
2019/6/11,6351.5,1019.51,3497.69,1823.38,10.92,,,,,
2019/6/12,6210.61,1019.64,3507.09,1672.96,10.92,,,,,
2019/6/13,6228.9,1020.38,3516.64,1680.96,10.92,,,,,
2019/6/14,5978.45,1021.15,3518.09,1428.29,10.92,,,,,
2019/6/15,5980.66,1021.91,3519.54,1428.29,10.92,,,,,
2019/6/16,6004.21,1022.67,3542.33,1428.29,10.92,,,,,
2019/6/17,6018.22,1023.44,3551.07,1432.79,10.92,,,,,
2019/6/18,6055.26,1024.18,3558.26,1461.9,10.92,,,,,
2019/6/19,6361.87,1024.91,3565.13,1760.91,10.92,,,,,
2019/6/20,6932.52,1026.91,3571.99,2322.7,10.92,,,,,
2019/6/21,7096.13,1028.65,3573.44,2483.12,10.92,,,,,
2019/6/22,7098.64,1029.72,3574.88,2483.12,10.92,,,,,
2019/6/23,7116.7,1030.79,3591.87,2483.12,10.92,,,,,
2019/6/24,7156.94,1031.86,3599.6,2514.56,10.92,,,,,
2019/6/25,6932.03,1032.9,3608.93,2279.28,10.92,,,,,
2019/6/26,6904.34,1033.92,3618.38,2241.12,10.92,,,,,
2019/6/27,7155.04,1034.93,3626.03,2483.16,10.92,,,,,
2019/6/28,7021.89,1035.91,3628.47,2346.59,10.92,,,,,
2019/6/29,7021.89,1035.91,3628.47,2346.59,10.92,,,,,
2019/6/30,7042.12,1037.79,3646.82,2346.59,10.92,,,,,
2019/7/1,7761.82,1038.71,3656.7,3055.49,10.92,,,,,
2019/7/2,7741.6,1039.59,3665.81,3025.28,10.92,,,,,
2019/7/3,7506.12,1040.44,3672.49,2782.27,10.92,,,,,
2019/7/4,7408.2,1041.28,3680.16,2675.84,10.92,,,,,
2019/7/5,7533.47,1042.1,3683.59,2796.86,10.92,,,,,
2019/7/6,7535.73,1042.91,3685.04,2796.86,10.92,,,,,
2019/7/7,7550.16,1043.72,3698.66,2796.86,10.92,,,,,
2019/7/8,6843.09,1044.53,3706.21,2081.43,10.92,,,,,
2019/7/9,6853.11,1045.95,3712.26,2083.98,10.92,,,,,
2019/7/10,6755.82,1046.48,3718.89,1979.53,10.92,,,,,
2019/7/11,6772.27,1047,3725.51,1988.84,10.92,,,,,
